date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-10-17,2,,34335,,0.41477765,,,,,,24335,4,4,58669.98856,,23251.24428,,29334.98856,,93004.97712,,,,
2016-10-18,93,,296.49868112,,81.78633293,,,,,,24631.49868112,183,185,301.1688848,,1.64381238789189,,0.184,,304.10529176,,,,
2016-10-19,134,,2358.34465584,,1.0097271,,,,,,26489.84333696,260,263,26234.65622824,,99.7563197428137,,0.51149968,,26235.91209236,,,,
2016-10-20,122,,2824.38397484,,9.21882577,,,,,,29314.2273118,248,262,3179.82225196,,12.1405451509924,,0.66469436,,3180.82282956,,,,
2016-10-21,110,,2801.21987616,,11.25204917,,,,,,32115.44718796,263,268,2854.18653136,,14.2267818046269,,0.6064,,3812.77752364,,,,
2016-10-22,87,,2380.01014344,,1.24453936,,,,,,34495.4573314,189,203,27717.44982244,,136.654985907192,,1.37191712,,27740.96213916,,,,
2016-10-23,63,,2364.40970288,,13.30848421,,,,,,36859.86703428,130,139,2769.651785,,20.0704400161151,,0.74106264,,2789.79116224,,,,
2016-10-24,92,,2764.52041032,,7.89677574,,,,,,39624.3874446,184,193,5017.79317881,,26.2296388062694,,1.26714016,,5062.32028961,,,,
2016-10-25,195,,5275.35787792,,3.81722416,,,,,,44899.74532252,346,362,11762.4072924,,34.2294201496133,,0.2696868,,12391.05009416,,,,
2016-10-26,93,,4061.70512752,,1.73958531,,,,,,48961.45045004,137,146,28145.47240268,,193.087431997808,,1.53052032,,28190.76507168,,,,
2016-10-27,86,,51262.4121992,,0.58232497,,,,,,83223.86264924,123,146,142916.52676032,,979.328217360274,,3.84931954,,142981.9197346,,,,
2016-10-28,81,,3624.39072044,,1.48589471,,,,,,66348.25336968,136,149,44652.05583692,,299.74385646604,,1,,44661.83461344,,,,
2016-10-29,75,,6556.18889892,,9.32176874,,,,,,72904.4422686,165,169,7820.88080872,,49.5174373325444,,0.1098972,,8368.4469092,,,,
2016-10-30,64,,844.30832944,,86.66840449,,,,,,73748.75059804,82,86,850.93005964,,11.4233557613953,,1.48503736,,982.40859548,,,,
2016-10-31,76,,9449.53737972,,8.60726092,,,,,,83198.28797776,161,166,9666.058546,,58.3670120404819,,1.35253894,,9688.92399872,,,,
2016-11-01,57,,6151.65084344,,8.13676402,,,,,,89349.9388212,100,104,10981.0163606,,150.609977050385,,1.2560912,,15663.43761324,,,,
2016-11-02,39,,789.29903888,,17.99746111,,,,,,90139.23786008,58,60,5008.4418746,,83.4791012433333,,0.62182804,,5008.7460746,,,,
2016-11-03,32,,432.56617276,,207.42349191,,,,,,90571.80403284,60,61,436.65162128,,7.30519056786885,,1.32528,,445.61662464,,,,
2016-11-04,31,,16212.19029364,,1.36811284,,,,,,96783.99432648,33,43,70742.69856756,,1886.98007691628,,23.29452,,81140.1433074,,,,
