date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-07-19,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-20,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-21,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-22,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-23,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-24,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-25,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-26,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-27,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-28,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-29,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-30,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-07-31,0,,0,,,,,,,,0,0,0,0,,,,,,0,,,,
2017-08-01,1607,,99384579.942059134221,,4039.85935296,,,,,,99384579.942059134221,6,6,24601,,4100.16666666667,,2200,,24601.000000000000001,,,,
2017-08-02,547,,78136455.225,,2247.07326701,,,,,,177521035.167059134221,5,5,79001,,15800.2,,6000,,79001,,,,
2017-08-03,651,,62795884.83054,,662.87922545,,,,,,240316919.997599134221,9,9,362535,,40281.6666666667,,4150,,362535,,,,
2017-08-04,720,,74438016.414299976,,10.04551857,,,,,,314754936.411899110221,9,9,31332870.88056,,3481430.09784,,6000,,31332870.880559976,,,,
2017-08-05,383,,19016638.815077994232,,194.08955106,,,,,,333771575.226977104453,11,11,1719678.22792008,,156334.384356371,,2400,,1719678.22792007999,,,,
2017-08-06,332,,14535322.4316302,,559.58104783,,,,,,348306897.658607304453,11,11,622442.27,,56585.6609090909,,12800,,622442.27,,,,
2017-08-07,344,,15986208.178955,,2731.91827216,,,,,,364293105.837562304453,7,7,133347.000000004,,19049.571428572,,12000,,133347.000000004232,,,,
2017-08-08,372,,46196492.3113300078,,32.69814634,,,,,,410489598.148892312253,7,7,12553910.3618799,,1793415.76598285,,29400,,12553910.3618799478,,,,
